,sample_number,site,sample_design,Ag,Al,As,B,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Fe,Ga,Hf,Hg,In,K,La,Li,Mg,Mn,Mo,Nb,Ni,P,Pb,Rb,S,Sb,Sc,Se,Sn,Sr,Te,Th,Tl,U,V,Y,Zn,Zr
69,155,Forest,Fine scale,0.05,0.56,4.6,20,150,0.41,0.14,4.46,0.38,26.1,6,11,0.6,13,1,1.87,0.1,0.05,0.019,0.18,12.9,6.7,1.5,723,0.71,0.32,18.4,700,9.3,13.3,0.08,0.29,1.3,0.7,0.3,40.1,0.02,1.4,0.18,0.84,32,8.56,71,3.8
70,156,Forest,Fine scale,0.06,0.53,5.9,20,130,0.39,0.14,3.59,0.42,31.2,6.9,12,0.58,13.9,1.07,1.86,0.1,0.04,0.016,0.16,14.7,6.4,1.27,805,0.85,0.34,20.3,740,9.2,13,0.08,0.34,1.4,0.8,0.3,37.2,0.03,1.9,0.19,1.05,30,9.74,62,3.4
71,157,Forest,Fine scale,0.07,0.6,6.1,20,130,0.46,0.15,3.23,0.42,33.5,7.3,12,0.62,13.4,1.16,2.16,0.11,0.05,0.019,0.18,15.4,7.1,1.32,870,0.84,0.38,21.4,680,9.5,14.5,0.08,0.31,1.6,0.9,0.4,35.7,0.03,1.9,0.19,1.1,31,9.96,66,3.9
72,158,Forest,Fine scale,0.05,0.44,5.9,20,120,0.34,0.12,3.67,0.35,30.5,6.4,11,0.54,10.8,1.05,1.54,0.09,0.09,0.015,0.14,14.1,5.6,1.48,798,0.79,0.34,18.3,710,8.1,11.4,0.09,0.26,1.3,0.7,0.3,34,0.03,2,0.16,1.03,26,8.91,43,3.2
73,159,Forest,Fine scale,0.06,0.46,6.2,10,150,0.35,0.13,3.62,0.41,34.3,6.7,11,0.58,10.7,1.12,1.71,0.1,0.05,0.015,0.13,15.5,5.8,1.42,879,0.81,0.38,19.3,620,8.3,11.8,0.09,0.32,1.5,0.7,0.3,35.9,0.03,2.9,0.17,1.18,27,9.56,50,3.9
74,160,Forest,Fine scale,0.07,0.53,6.7,20,140,0.39,0.15,3.42,0.44,36.2,7.4,12,0.61,11.9,1.23,1.96,0.09,0.04,0.018,0.15,17.3,6.7,1.49,985,0.93,0.39,22,670,9.1,13.8,0.09,0.31,1.7,0.7,0.3,34.8,0.04,2.8,0.19,1.21,30,10.3,52,3.5
75,161,Forest,Fine scale,0.06,0.54,6.9,10,170,0.42,0.14,4.06,0.4,37.1,7.3,12,0.73,12.4,1.19,1.96,0.09,0.04,0.018,0.15,17,6.8,1.52,999,0.92,0.35,22.1,580,8.5,12.9,0.08,0.33,1.8,0.9,0.3,43.4,0.03,3.3,0.19,1.27,30,10.25,51,4.3
76,162,Forest,Fine scale,0.05,0.51,6.7,10,150,0.4,0.13,3.86,0.33,36.3,7.6,12,0.67,10.8,1.16,1.89,0.09,0.04,0.018,0.14,16.4,6.4,1.57,901,0.85,0.3,21.1,580,8.5,11.2,0.07,0.28,1.7,0.6,0.3,36.7,0.02,3.9,0.16,1.13,30,9.98,46,4.1
77,163,Forest,Fine scale,0.07,0.59,7.5,10,180,0.45,0.16,4.25,0.39,35.5,8.5,13,0.74,13.2,1.27,2.14,0.1,0.03,0.018,0.15,15.8,7.6,1.5,1060,1.15,0.35,22.9,560,9.6,13,0.11,0.33,1.9,0.8,0.4,52.3,0.04,3.2,0.19,1.2,31,9.73,60,4.1
78,164,Forest,Fine scale,0.06,0.58,6.8,10,140,0.44,0.15,4.19,0.29,34,7.2,12,0.78,10.2,1.18,2.03,0.12,0.02,0.017,0.16,15.9,7.5,1.52,1020,0.99,0.26,21.1,480,8.5,13.1,0.07,0.29,1.9,0.6,0.3,46.2,0.04,3.8,0.18,1.12,31,9.68,48,5.6
79,165,Forest,Fine scale,0.06,0.57,6.7,10,140,0.42,0.14,4.14,0.35,33.7,7.1,12,0.7,10.8,1.18,2.02,0.1,0.03,0.016,0.18,16,7.2,1.52,1020,0.97,0.35,21.3,560,8.3,13.3,0.07,0.3,1.8,0.8,0.3,43.2,0.03,3.1,0.19,1.14,31,9.85,51,4
80,166,Forest,Fine scale,0.07,0.54,6.5,10,130,0.37,0.14,4.19,0.32,33,6.5,11,0.66,10.1,1.17,1.7,0.08,0.04,0.017,0.15,15.3,6.5,1.64,965,1.02,0.29,19.1,540,8.6,11.9,0.06,0.38,1.7,0.6,0.3,41.1,0.04,3.4,0.16,1.09,28,9.04,50,4
81,167,Forest,Fine scale,0.07,0.56,6.2,10,130,0.39,0.13,4.23,0.38,33.6,6.4,12,0.66,10,1.17,1.82,0.08,0.03,0.017,0.16,16.1,6.7,1.61,913,0.83,0.34,18.6,580,7.8,13.2,0.07,0.34,1.7,0.8,0.3,43.7,0.03,3,0.17,1.12,29,9.47,57,3.5
82,168,Forest,Fine scale,0.07,0.58,6.5,10,130,0.39,0.16,4,0.4,33.3,6.9,12,0.75,9.3,1.19,1.83,0.08,0.04,0.018,0.16,16.2,6.8,1.51,986,0.82,0.31,20,530,8.2,13.6,0.06,0.33,1.8,0.8,0.3,41.4,0.05,3.3,0.17,1.09,30,9.42,58,4.4
83,169,Forest,Fine scale,0.07,0.56,6.4,10,130,0.37,0.16,4.2,0.34,32.1,6.7,11,0.7,8.9,1.15,1.82,0.08,0.03,0.018,0.15,15.3,6.6,1.58,984,0.78,0.3,19.3,540,7.9,12.6,0.05,0.3,1.8,0.7,0.3,42.7,0.05,3.2,0.17,1.07,29,9.31,51,4.2
84,170,Forest,Fine scale,0.06,0.57,6.5,10,120,0.41,0.15,3.8,0.58,31.4,6.5,11,0.68,8.8,1.14,1.78,0.07,0.04,0.016,0.16,15.3,6.9,1.47,995,0.72,0.3,19.2,520,8,12.9,0.06,0.3,1.7,0.6,0.3,41.5,0.04,2.8,0.18,1.05,29,8.94,62,3.8
85,171,Forest,Likely to erode,0.05,0.42,6,10,210,0.29,0.1,5.08,0.28,38.6,6.3,11,0.57,8.2,1.13,1.55,0.06,0.03,0.013,0.12,18.2,5.4,1.83,952,0.86,0.35,16.1,730,7.2,8.9,0.09,0.28,1.6,0.6,0.3,54.3,0.03,4,0.14,1.27,24,9.66,48,3
86,172,Forest,Likely to erode,0.05,0.46,6.3,10,180,0.33,0.12,5.11,0.27,34.8,6.7,11,0.65,8.3,1.14,1.61,0.1,0.03,0.013,0.11,16.5,6,1.78,937,0.92,0.31,17.5,600,7.3,10.5,0.08,0.31,1.7,0.5,0.3,55.6,0.04,3.9,0.16,1.28,25,9.74,41,4.7
87,173,Forest,Likely to erode,0.05,0.45,6.5,10,230,0.35,0.11,5.01,0.25,33.8,7.1,11,0.63,7.6,1.16,1.55,0.15,0.02,0.015,0.1,15.8,5.5,1.78,1180,0.96,0.17,18.1,580,7.6,9.4,0.07,0.3,1.7,0.5,0.3,56.1,0.04,4.7,0.13,1.19,26,9.29,40,6.8
88,174,Forest,Likely to erode,0.07,0.55,7.1,10,210,0.39,0.15,4.6,0.33,34.1,7.8,11,0.79,10.2,1.21,1.83,0.13,0.04,0.018,0.13,15.9,7,1.6,1280,1.08,0.23,21.5,540,8.9,12.3,0.08,0.34,1.9,0.6,0.3,60.7,0.04,3.9,0.17,1.26,29,9.97,52,6.9
